percentage,returns
0.23314574508094077,🔵🔵⚪⚪⚪⚪⚪⚪⚪
0.8894017199030565,🔵🔵🔵🔵🔵🔵🔵🔵⚪
0.3733920222972368,🔵🔵🔵⚪⚪⚪⚪⚪⚪
0.5150602099684043,🔵🔵🔵🔵🔵⚪⚪⚪⚪
0.08741837766413485,⚪⚪⚪⚪⚪⚪⚪⚪⚪
0.6171466180345494,🔵🔵🔵🔵🔵🔵⚪⚪⚪
0.15840803164494377,🔵⚪⚪⚪⚪⚪⚪⚪⚪
0.4790002745034111,🔵🔵🔵🔵⚪⚪⚪⚪⚪
0.12566959386044863,🔵⚪⚪⚪⚪⚪⚪⚪⚪
0.9540453981466129,🔵🔵🔵🔵🔵🔵🔵🔵🔵
0.4270497200051613,🔵🔵🔵🔵⚪⚪⚪⚪⚪
0.9465014412539441,🔵🔵🔵🔵🔵🔵🔵🔵🔵
0.9549376801387776,🔵🔵🔵🔵🔵🔵🔵🔵🔵
0.5749645960427946,🔵🔵🔵🔵🔵⚪⚪⚪⚪
0.42874887494638925,🔵🔵🔵🔵⚪⚪⚪⚪⚪
0.21903532069461285,🔵🔵⚪⚪⚪⚪⚪⚪⚪
0.1847434820612458,🔵⚪⚪⚪⚪⚪⚪⚪⚪
0.8684712228835602,🔵🔵🔵🔵🔵🔵🔵🔵⚪
0.5272613976356211,🔵🔵🔵🔵🔵⚪⚪⚪⚪
0.13854488009661392,🔵⚪⚪⚪⚪⚪⚪⚪⚪
0.6602668999207644,🔵🔵🔵🔵🔵🔵⚪⚪⚪
0.3555506095402219,🔵🔵🔵⚪⚪⚪⚪⚪⚪
0.7382910760762643,🔵🔵🔵🔵🔵🔵🔵⚪⚪
0.6957281691885877,🔵🔵🔵🔵🔵🔵⚪⚪⚪
0.7512342810288712,🔵🔵🔵🔵🔵🔵🔵⚪⚪
0.5556573029412496,🔵🔵🔵🔵🔵⚪⚪⚪⚪
0.3168094396583746,🔵🔵🔵⚪⚪⚪⚪⚪⚪
0.9247398516801801,🔵🔵🔵🔵🔵🔵🔵🔵🔵
0.18709574136084828,🔵⚪⚪⚪⚪⚪⚪⚪⚪
0.9993535622944811,🔵🔵🔵🔵🔵🔵🔵🔵🔵
